,palmBase_x,palmBase_y,palmBase_z,thumb1_x,thumb1_y,thumb1_z,thumb2_x,thumb2_y,thumb2_z,thumb3_x,thumb3_y,thumb3_z,thumb4_x,thumb4_y,thumb4_z,indexFinger1_x,indexFinger1_y,indexFinger1_z,indexFinger2_x,indexFinger2_y,indexFinger2_z,indexFinger3_x,indexFinger3_y,indexFinger3_z,indexFinger4_x,indexFinger4_y,indexFinger4_z,middleFinger1_x,middleFinger1_y,middleFinger1_z,middleFinger2_x,middleFinger2_y,middleFinger2_z,middleFinger3_x,middleFinger3_y,middleFinger3_z,middleFinger4_x,middleFinger4_y,middleFinger4_z,ringFinger1_x,ringFinger1_y,ringFinger1_z,ringFinger2_x,ringFinger2_y,ringFinger2_z,ringFinger3_x,ringFinger3_y,ringFinger3_z,ringFinger4_x,ringFinger4_y,ringFinger4_z,pinky1_x,pinky1_y,pinky1_z,pinky2_x,pinky2_y,pinky2_z,pinky3_x,pinky3_y,pinky3_z,pinky4_x,pinky4_y,pinky4_z,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99
0,516.9681822579872,436.4932027271865,-0.0007977336645126343,449.8729510951921,426.78382650121284,-2.5223217010498047,396.01301566535017,388.21746601237055,-2.8759007453918457,356.1592669503465,350.73985722206527,-4.886622428894043,324.4976351774938,324.34549774989637,-7.7294602394104,433.6823194187036,308.41662682054454,7.208920955657959,399.6026718081223,260.36694065218484,7.32242488861084,374.5533370965528,228.87719497981828,5.482365608215332,352.54840222116275,204.05029359055595,3.0492424964904785,471.41729173850075,292.49676232969705,4.239321708679199,444.8663457096131,233.45264711608635,5.481106758117676,422.17407124651027,194.70464989865826,2.8052737712860107,402.08923129028017,167.30608423662846,0.3050529360771179,508.39115406721623,288.42911757557613,-0.31720781326293945,492.7707149822734,230.656051549987,-0.034505248069763184,476.94266906301743,191.14867680461148,-1.9050300121307373,460.00766559101385,162.28695918933965,-3.8398962020874023,546.5555018351115,295.37312954931315,-5.8323283195495605,545.2344082295638,247.6096621417513,-6.974964141845703,541.4071644315628,214.925138789549,-8.324316024780273,533.7649038487267,184.5114155000877,-9.468152046203613,455.0,451.0,448.0,446.0,446.0,449.0,454.0,454.0,450.0,446.0,454.0,455.0,446.0,447.0,451.0,455.0,446.0,448.0,454.0,456.0,451.0,447.0,446.0,454.0,453.0,448.0,446.0,447.0,451.0,456.0,454.0,447.0,455.0,454.0,448.0,447.0,447.0,453.0,456.0,451.0,447.0,447.0,453.0,455.0,449.0,447.0,448.0,451.0,456.0,449.0,447.0,448.0,452.0,456.0,452.0,447.0,448.0,453.0,456.0,453.0,449.0,447.0,447.0,450.0,456.0,453.0,449.0,456.0,454.0,449.0,448.0,448.0,456.0,450.0,448.0,449.0,447.0,456.0,452.0,447.0,446.0,447.0,452.0,446.0,452.0,454.0,448.0,446.0,450.0,455.0,449.0,446.0,445.0,447.0,453.0,455.0,450.0,445.0,447.0,452.0
1,483.443896696257,397.8794281638596,-0.0006571188569068909,426.91850664623723,386.8223588431746,-6.840611457824707,371.68008559718413,350.871433128244,-9.519763946533203,324.99218069328276,315.5288301539201,-12.91491985321045,286.7838125802486,296.41655996800597,-16.812973022460938,405.93693526756357,266.90042604483,0.5797674655914307,377.42223845977304,216.6393524803077,0.35060250759124756,359.94670384062374,184.49065455794664,-1.4933533668518066,344.8608543165906,157.3367846020295,-3.9560763835906982,442.7856284785905,253.39098631554634,-0.826807975769043,422.8835238486884,195.20587042264285,-0.21430283784866333,409.02933643644303,156.28395838709702,-2.714433431625366,398.0608053849163,127.69832845796003,-4.935280799865723,479.01499463227316,255.44995049368788,-3.906651496887207,471.76059453575687,202.21236760352065,-4.665633678436279,466.2998511062921,165.23083540259947,-6.837597370147705,460.49898963280714,137.0350371122774,-8.639350891113281,515.353168355308,271.2948621365058,-8.266439437866211,527.8744397206193,231.91133946809882,-10.061419486999512,536.5046872702397,203.7465445966335,-11.73126220703125,541.3703328480328,175.11757267089942,-12.772440910339355,454.0,450.0,447.0,449.0,457.0,454.0,449.0,451.0,457.0,455.0,449.0,451.0,455.0,458.0,455.0,451.0,450.0,456.0,457.0,452.0,451.0,460.0,453.0,454.0,458.0,461.0,457.0,452.0,452.0,455.0,459.0,460.0,453.0,451.0,454.0,459.0,461.0,457.0,454.0,452.0,452.0,457.0,460.0,458.0,453.0,451.0,454.0,461.0,460.0,454.0,453.0,462.0,458.0,455.0,453.0,456.0,462.0,456.0,454.0,458.0,463.0,462.0,456.0,456.0,465.0,458.0,456.0,457.0,460.0,462.0,458.0,454.0,456.0,462.0,462.0,456.0,453.0,453.0,455.0,461.0,460.0,453.0,452.0,453.0,460.0,459.0,452.0,451.0,459.0,451.0,450.0,455.0,459.0,450.0,459.0,455.0,450.0,449.0,451.0,457.0
2,477.1182337957761,392.5012338638323,-0.0009327009320259094,422.8365025915358,375.8860553391896,-7.343960285186768,374.2298050263554,335.39884272286275,-9.835044860839844,337.89909316985484,294.94942918550834,-12.843876838684082,313.2879072468506,272.8441915796443,-16.05591583251953,415.63293852684563,258.7783085978497,0.43836891651153564,393.7968736902185,208.55879639731336,0.02132391929626465,380.5237107176423,177.44249889027822,-2.1769556999206543,369.0740021831524,151.1690760363207,-4.669350624084473,452.2517614399777,248.04251549893652,-0.5258750915527344,437.4842435141367,190.44277266963968,-0.1671021580696106,427.0517840494512,151.4782838999754,-3.1180834770202637,418.0958684573493,121.93756097019435,-5.739536285400391,486.83542881801804,252.08897320819761,-3.1149353981018066,482.4689363391136,199.3943599816986,-3.6621921062469482,478.44618207175483,162.74214895154648,-5.823269844055176,473.0740533156659,134.3723309115723,-7.8514275550842285,520.2957597361484,269.8169197748849,-7.063793659210205,533.4426333098133,229.8798942499094,-8.223061561584473,541.7095484639676,201.27315453557057,-9.5267915725708,545.3097659489913,172.71809890330974,-10.501262664794922,448.0,454.0,453.0,449.0,447.0,446.0,449.0,453.0,454.0,447.0,446.0,449.0,454.0,453.0,449.0,446.0,453.0,455.0,453.0,447.0,445.0,446.0,453.0,447.0,447.0,454.0,449.0,446.0,445.0,450.0,454.0,452.0,447.0,445.0,449.0,454.0,453.0,447.0,445.0,445.0,449.0,454.0,450.0,445.0,446.0,453.0,448.0,445.0,446.0,450.0,454.0,449.0,445.0,446.0,452.0,451.0,447.0,445.0,445.0,448.0,452.0,454.0,448.0,445.0,447.0,453.0,455.0,450.0,447.0,446.0,447.0,450.0,454.0,453.0,447.0,446.0,451.0,451.0,447.0,446.0,455.0,449.0,447.0,447.0,449.0,456.0,450.0,448.0,454.0,456.0,452.0,449.0,447.0,451.0,456.0,451.0,447.0,448.0,454.0,456.0
3,476.4965383336938,392.73311518173307,0.0001361370086669922,426.06825203302003,372.51886121361565,-5.770282745361328,386.85753151344863,327.8949659922725,-8.892477989196777,378.80980036769677,277.89428603070314,-13.60124683380127,404.6802142554897,246.64027637400238,-14.627517700195312,417.7016499940142,255.34645007768822,10.788463592529297,400.3223060056958,237.04159725600024,-8.212992668151855,405.81340521920623,277.6403736239266,-8.608805656433105,416.00747297694954,292.81625375907,2.0116283893585205,448.0583946426331,254.75844615794276,7.74871826171875,428.49702764558236,242.81367271419245,-12.694090843200684,432.35209319566593,297.37141498885467,-11.128103256225586,441.56373130299676,306.9528871200335,0.3322399854660034,479.69311223641535,260.72983815561315,0.9221582412719727,456.72820345121886,256.9865168825462,-18.646305084228516,456.15893331707895,308.9268658797888,-14.98717975616455,466.1843916555967,315.27558263333754,-4.464571475982666,509.74790254959026,270.537783313746,-6.576777935028076,486.7167358928162,268.23950502708925,-19.364974975585938,479.1398104683054,305.7902232509873,-14.313591957092285,485.82719480532893,314.1575302881354,-4.7364983558654785,449.0,449.0,454.0,457.0,449.0,454.0,459.0,457.0,452.0,451.0,452.0,461.0,458.0,453.0,452.0,452.0,458.0,461.0,461.0,456.0,453.0,462.0,457.0,454.0,457.0,463.0,459.0,455.0,458.0,462.0,461.0,453.0,460.0,462.0,456.0,453.0,452.0,456.0,461.0,459.0,455.0,453.0,454.0,461.0,455.0,453.0,453.0,456.0,461.0,462.0,456.0,453.0,456.0,462.0,458.0,454.0,461.0,454.0,459.0,463.0,461.0,455.0,462.0,458.0,455.0,452.0,454.0,460.0,460.0,456.0,452.0,454.0,460.0,459.0,454.0,452.0,451.0,457.0,461.0,456.0,452.0,451.0,452.0,460.0,455.0,451.0,458.0,460.0,454.0,451.0,450.0,454.0,455.0,450.0,452.0,458.0,456.0,451.0,449.0,452.0
4,481.2830987017361,366.9982125696249,-0.0005877092480659485,419.7494106608441,361.42530355623546,-2.3618218898773193,376.6669418608393,327.277735721053,-1.568408489227295,349.88414140287733,292.16565856852617,-2.741063356399536,331.75042180916546,263.95333015360654,-4.731105804443359,418.94463689250955,258.4796128562985,14.130634307861328,400.27269795315203,214.93486809297795,16.323270797729492,386.6287141360728,186.4398298347636,16.55130386352539,374.69670875853996,164.5968267957453,15.504236221313477,454.6044789479599,248.29935784715968,10.92296028137207,444.1791638943154,197.73158689528904,13.92186164855957,431.48547533564556,162.09155557302586,11.625533103942871,418.7045802542814,137.80374902283495,9.345985412597656,488.58244010755766,248.53678842938422,5.6046342849731445,486.54500678962347,200.40453774202322,6.910432815551758,477.40016667739945,164.96901703429393,4.105070114135742,465.3198111798519,140.3931214054488,1.4129902124404907,523.3123791721979,257.6056466139873,-0.7117171287536621,531.7628394474734,220.56973987733392,-1.2185250520706177,533.4664986334487,193.09148258002017,-3.114767551422119,530.2277128433095,167.74687746702477,-4.775008678436279,450.0,448.0,448.0,450.0,456.0,450.0,455.0,455.0,448.0,446.0,446.0,452.0,451.0,451.0,453.0,449.0,444.0,443.0,448.0,451.0,445.0,442.0,441.0,443.0,449.0,447.0,440.0,445.0,449.0,447.0,440.0,443.0,446.0,440.0,439.0,443.0,448.0,445.0,439.0,446.0,445.0,440.0,439.0,443.0,448.0,444.0,440.0,441.0,447.0,449.0,443.0,441.0,440.0,449.0,445.0,441.0,440.0,442.0,448.0,444.0,443.0,450.0,446.0,443.0,441.0,443.0,449.0,449.0,441.0,444.0,450.0,447.0,444.0,442.0,442.0,450.0,450.0,444.0,442.0,445.0,450.0,452.0,449.0,445.0,443.0,447.0,453.0,448.0,444.0,448.0,453.0,446.0,445.0,450.0,454.0,452.0,447.0,445.0,448.0,445.0
5,492.70816156140495,368.1933888470738,-0.0018024072051048279,434.96861997321355,354.19579202561107,-9.160707473754883,390.0479827731576,317.7883114303327,-13.553037643432617,365.3628771176633,278.2502736774226,-18.66969108581543,367.02814439603605,252.8741292623715,-23.196340560913086,420.3248933421381,243.2380251287048,3.865253448486328,403.9052004502329,196.04133684271983,-3.9420032501220703,407.35593751703334,208.49493836373554,-12.9447603225708,413.8723230670234,223.70665894040266,-18.590974807739258,452.1288367427816,234.45163783324804,2.89835786819458,443.0534033295127,178.9044191835439,-9.963891983032227,440.04142951130325,207.42710819355474,-22.718158721923828,441.7838923398385,234.8330255308564,-28.634794235229492,486.1717194772954,232.26171678623706,-0.34072327613830566,480.25959553587967,178.63458586599563,-12.772604942321777,471.5024980521172,209.49692482737407,-24.3554630279541,471.3848812117136,239.7071463888285,-29.278305053710938,523.3546669614061,237.94282059020483,-4.4216461181640625,518.3336970024628,193.88691755608582,-13.23830795288086,502.815354330667,206.38833677642273,-19.666465759277344,493.5121105517796,229.0330352932417,-22.48467254638672,449.0,454.0,452.0,448.0,447.0,452.0,457.0,455.0,449.0,448.0,456.0,454.0,450.0,450.0,452.0,457.0,459.0,454.0,451.0,458.0,460.0,454.0,452.0,452.0,458.0,461.0,454.0,452.0,461.0,455.0,452.0,454.0,461.0,458.0,452.0,452.0,456.0,461.0,455.0,452.0,457.0,458.0,454.0,451.0,453.0,459.0,452.0,451.0,457.0,460.0,454.0,451.0,451.0,459.0,452.0,450.0,450.0,456.0,459.0,453.0,449.0,450.0,454.0,458.0,452.0,449.0,450.0,457.0,455.0,449.0,455.0,457.0,452.0,448.0,453.0,449.0,449.0,457.0,452.0,448.0,450.0,457.0,456.0,450.0,448.0,450.0,454.0,457.0,452.0,449.0,451.0,457.0,454.0,451.0,450.0,459.0,454.0,451.0,453.0,461.0
6,483.0399762713997,363.3570648165444,-0.0004600211977958679,430.13901231599567,358.66582450968303,-9.537467956542969,382.7310079528538,326.4906131666159,-13.020132064819336,352.4753108402134,293.3442917298168,-17.37885093688965,340.8673340805007,268.2480998683848,-21.73188591003418,416.1934740338486,241.38006685937938,6.155648231506348,398.0095354271657,201.66693768995393,1.6262820959091187,384.1429591183055,190.46266798362265,-4.961413383483887,372.48368996254555,191.88689294101835,-9.71255111694336,453.997529840825,229.4566227209419,4.979109287261963,446.89256722801525,183.06233149662646,1.7452749013900757,430.2785613250812,168.93441438403934,-6.2575201988220215,413.9304437404374,169.71248919548884,-11.809094429016113,489.6651303274472,231.38468014265564,1.0366947650909424,491.34155016454434,185.5860072775573,-1.6805680990219116,475.8096278537385,168.2274056651591,-8.06839370727539,458.6608348696035,165.18183747260332,-12.612454414367676,525.6508179674037,244.19064356130008,-4.59841251373291,535.4972258404907,209.57810343348194,-8.029034614562988,530.4622044653489,190.59119640403978,-12.430441856384277,519.0609843912821,178.7556716154148,-15.706624984741211,455.0,459.0,450.0,451.0,458.0,457.0,452.0,449.0,450.0,454.0,459.0,453.0,449.0,450.0,458.0,453.0,449.0,448.0,453.0,453.0,446.0,454.0,455.0,449.0,445.0,447.0,453.0,447.0,443.0,443.0,448.0,452.0,447.0,443.0,442.0,448.0,451.0,445.0,442.0,441.0,442.0,448.0,450.0,445.0,441.0,446.0,448.0,441.0,444.0,449.0,444.0,440.0,440.0,445.0,449.0,443.0,440.0,441.0,446.0,450.0,447.0,443.0,440.0,441.0,445.0,450.0,446.0,441.0,441.0,447.0,450.0,448.0,443.0,441.0,446.0,442.0,443.0,447.0,451.0,444.0,443.0,448.0,451.0,450.0,446.0,443.0,443.0,451.0,446.0,444.0,445.0,448.0,453.0,450.0,446.0,444.0,445.0,452.0,454.0,451.0
7,498.0306545652347,358.74438965040605,-0.00041013211011886597,440.783941217206,353.52288029753674,-7.205324172973633,393.46745382208604,323.64645574368353,-8.670039176940918,361.2844229946744,290.0654280371509,-11.230395317077637,340.78411004367035,263.71686466717847,-13.923324584960938,418.515747258139,248.96867713116865,8.6158447265625,397.94737790275263,208.17663795714657,10.094514846801758,385.3101710661227,184.7826766009659,9.347396850585938,374.9137372629545,168.1125144552903,7.43258810043335,452.1246785168275,233.99166680122352,7.350809097290039,436.07612940113574,186.88383916107358,10.602790832519531,423.1572502833325,158.67366092825682,8.371926307678223,411.41916136404154,140.55787663840715,5.98036003112793,485.8459180660212,229.56945542391622,3.5504367351531982,475.9605578731,184.12352763792637,4.481001853942871,464.5765031748557,155.50882656921678,1.8452134132385254,453.29998726013577,136.88347299157618,-0.623449981212616,521.4394920038111,234.1782895850558,-1.875601887702942,523.0581215154282,197.1907984680301,-2.912088394165039,520.896390287219,171.61004213856108,-4.8448333740234375,516.3197707970244,150.43718560861566,-6.391550064086914,446.0,446.0,451.0,446.0,447.0,452.0,456.0,449.0,446.0,451.0,456.0,451.0,447.0,448.0,456.0,452.0,448.0,447.0,451.0,456.0,454.0,450.0,448.0,448.0,450.0,456.0,457.0,453.0,448.0,455.0,456.0,451.0,448.0,456.0,458.0,451.0,448.0,452.0,458.0,450.0,448.0,453.0,457.0,454.0,449.0,448.0,450.0,456.0,457.0,450.0,448.0,453.0,458.0,455.0,451.0,449.0,450.0,457.0,452.0,449.0,456.0,458.0,449.0,458.0,456.0,451.0,449.0,454.0,458.0,455.0,450.0,449.0,456.0,456.0,451.0,449.0,453.0,458.0,453.0,450.0,449.0,450.0,457.0,455.0,458.0,458.0,452.0,451.0,457.0,453.0,453.0,461.0,461.0,455.0,453.0,458.0,462.0,457.0,454.0,453.0
8,491.93633521438346,354.25876865007626,-0.0010548233985900879,440.13863870098965,352.10832667553984,-12.31885051727295,395.84778939347245,322.4775033703036,-18.864368438720703,368.66894781187983,289.01979156920214,-25.711618423461914,363.2915666218446,259.89624764083385,-32.792991638183594,420.3687320085659,243.98724579634725,-1.6470677852630615,406.73666729644,202.72390929070113,-11.380115509033203,395.7079941337269,194.32562495087507,-24.389448165893555,389.9767506549736,206.05104636001624,-32.37655258178711,453.7836397569134,233.66931348769603,-2.8736915588378906,448.62874044991406,184.00266599321674,-12.156644821166992,432.88103599907123,176.6050554791361,-26.81344223022461,422.9336033798531,193.03874040214026,-36.39947509765625,486.53614165917026,234.039678074204,-6.767605781555176,488.17160671762133,187.0512890554329,-14.932412147521973,472.9731692957395,177.80563865848077,-28.395893096923828,461.40490505507216,190.37384859361543,-36.99850082397461,519.4363093320628,243.45022485868006,-12.207273483276367,524.2549421080081,205.41395156185104,-19.798126220703125,513.8849760103042,191.42597569543517,-29.201847076416016,501.04114608590385,194.9293643914314,-36.3835334777832,452.0,453.0,459.0,461.0,457.0,461.0,454.0,451.0,455.0,461.0,456.0,452.0,452.0,459.0,459.0,453.0,451.0,457.0,458.0,452.0,451.0,455.0,459.0,451.0,459.0,457.0,452.0,449.0,451.0,453.0,449.0,456.0,453.0,448.0,449.0,455.0,447.0,445.0,448.0,454.0,448.0,444.0,446.0,452.0,451.0,445.0,443.0,446.0,451.0,442.0,451.0,446.0,446.0,451.0,448.0,442.0,444.0,449.0,447.0,442.0,450.0,443.0,442.0,451.0,449.0,444.0,443.0,449.0,451.0,448.0,443.0,443.0,448.0,452.0,444.0,443.0,449.0,452.0,443.0,443.0,450.0,452.0,449.0,444.0,443.0,451.0,446.0,446.0,452.0,450.0,446.0,445.0,450.0,453.0,447.0,445.0,447.0,453.0,453.0,446.0
9,499.00954758300156,364.33304343786824,-0.000799521803855896,443.3544148733237,357.07801012388904,-5.600914001464844,398.68576365307405,323.81194540646237,-6.857570648193359,367.7759523118233,288.4857358441908,-9.415308952331543,345.01989880066196,261.21306543009786,-12.413818359375,426.76999714043546,253.18188543765928,7.362076282501221,405.6067052160349,210.18932504576574,8.054662704467773,391.2417146786472,183.11430390249262,6.71104621887207,378.93482995651374,162.06471763730923,4.532742023468018,459.36113199768005,240.30125568550372,5.372377395629883,441.8669910017315,191.17542928437814,7.251370429992676,427.2251718332536,160.67033972115382,4.524681568145752,414.051502981142,139.64403949677893,1.9657928943634033,491.4933146794635,237.51991574462136,1.1967954635620117,480.898839395698,190.30200110543856,1.2611029148101807,468.9290361408996,160.7422500696675,-1.1822633743286133,456.5448458911901,140.69313842830513,-3.3631811141967773,524.8441221513575,243.33870318937085,-4.330765724182129,525.8616487241408,204.52662693659755,-5.916703224182129,523.3667424148941,177.9001761690714,-7.880313873291016,517.9743918871462,154.77718165781778,-9.390748977661133,453.0,453.0,446.0,446.0,454.0,449.0,446.0,450.0,455.0,448.0,447.0,454.0,456.0,457.0,451.0,448.0,449.0,451.0,448.0,450.0,457.0,452.0,449.0,449.0,456.0,452.0,449.0,449.0,451.0,455.0,456.0,449.0,451.0,450.0,450.0,456.0,459.0,453.0,450.0,458.0,453.0,450.0,451.0,457.0,458.0,453.0,450.0,452.0,458.0,456.0,451.0,450.0,451.0,452.0,455.0,459.0,455.0,459.0,451.0,452.0,459.0,452.0,456.0,458.0,451.0,450.0,452.0,458.0,451.0,453.0,459.0,459.0,453.0,455.0,454.0,450.0,452.0,456.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
